,accuracy,num_neighbours
0,0.7586363636363637,1
1,0.7636363636363637,2
2,0.7436363636363637,3
3,0.7522727272727272,4
4,0.7468181818181818,5
5,0.7513636363636363,6
6,0.7486363636363637,7
7,0.739090909090909,8
8,0.7354545454545454,9
9,0.7354545454545454,10
10,0.7299999999999999,11
11,0.7272727272727273,12
12,0.7254545454545455,13
13,0.7259090909090908,14
14,0.7213636363636363,15
15,0.7218181818181818,16
16,0.7154545454545456,17
17,0.7172727272727274,18
18,0.7145454545454546,19
19,0.7118181818181818,20
20,0.7068181818181818,21
21,0.7095454545454546,22
22,0.7054545454545453,23
23,0.7054545454545454,24
24,0.7031818181818181,25
25,0.7031818181818181,26
26,0.7013636363636364,27
27,0.7,28
28,0.7004545454545454,29
29,0.6981818181818181,30
